rotational_speed_[rpm],tool_wear_[min],air_temperature_[k],type,twf,pwf,process_temperature_[k],hdf,rnf,osf
1456.0,54,302.0,1,0,0,310.9,0,0,0
1399.0,132,297.0,1,0,0,308.3,0,0,0
1357.0,137,301.0,1,0,0,311.6,0,0,0
1411.0,84,298.9,0,0,0,309.8,0,0,0
1733.0,50,297.1,0,0,0,308.5,0,0,0
1706.0,8,298.3,2,0,0,308.9,0,0,0
1263.0,104,300.7,1,0,0,311.0,0,0,0
1413.0,51,297.6,2,0,0,309.0,0,0,0
1608.0,79,303.9,1,0,0,313.2,0,0,0
1431.0,109,297.3,2,0,0,308.6,0,0,0
1466.0,187,298.9,0,0,0,310.1,0,0,0
1691.0,116,297.9,0,0,0,308.6,0,0,0
1540.0,175,299.2,0,0,0,310.7,0,0,0
1515.0,179,298.4,0,0,0,308.4,0,0,0
1421.0,0,300.4,1,0,0,309.8,0,0,0
1617.0,203,298.7,0,0,0,309.9,0,0,0
1249.0,143,297.7,0,0,0,308.7,0,0,0
1564.0,183,298.9,0,0,0,310.0,0,0,0
1568.0,10,298.1,0,0,0,308.7,0,0,0
1434.0,43,304.1,0,0,0,313.2,0,0,0
1571.0,201,302.5,0,0,0,311.1,0,0,0
1899.5,104,299.2,2,0,0,308.8,0,0,0
1468.0,9,299.6,0,0,0,310.2,0,0,0
1489.0,117,301.0,2,0,0,312.2,0,0,0
1389.0,64,299.1,0,0,0,310.5,0,0,0
1351.0,168,302.4,0,0,0,310.2,0,0,0
1532.0,62,299.1,0,0,0,310.5,0,0,0
1726.0,147,300.6,0,0,0,309.6,0,0,0
1589.0,75,301.7,0,0,0,311.2,0,0,0
1347.0,43,296.8,0,0,0,307.5,0,0,0
1486.0,19,300.7,0,0,0,311.8,0,0,0
1430.0,124,299.6,0,0,0,311.0,0,0,0
1403.0,179,297.1,0,0,0,308.3,0,0,0
1520.0,146,300.7,0,0,0,310.6,0,0,0
1372.0,30,298.9,1,0,0,308.2,0,0,0
1354.0,212,298.7,0,0,0,309.8,0,0,0
1347.0,139,299.7,0,0,0,309.1,0,0,0
1508.0,59,300.7,0,0,0,309.5,0,0,0
1648.0,104,303.0,1,0,0,312.8,0,0,0
1832.0,179,300.4,1,0,0,311.7,0,0,0
1406.0,159,302.0,1,0,0,311.1,0,0,0
1326.0,90,298.3,0,0,0,308.1,0,0,0
1456.0,118,298.9,0,0,0,310.3,0,0,0
1702.0,203,298.0,0,0,0,308.5,0,0,0
1738.0,128,302.6,0,0,0,311.4,0,0,0
1347.0,49,297.1,0,0,0,308.2,0,0,0
1664.0,178,303.8,0,0,0,312.7,0,0,0
1637.0,207,298.6,0,0,0,309.8,0,0,0
1899.5,102,301.6,0,0,0,311.1,0,0,0
1505.0,78,302.3,1,0,0,311.2,0,0,0
1410.0,76,298.2,1,0,0,309.0,0,0,0
1709.0,118,296.8,0,0,0,307.9,0,0,0
1776.0,43,297.2,1,0,0,308.3,0,0,0
1600.0,23,300.2,0,0,0,310.2,0,0,0
1391.0,123,301.0,0,0,0,310.7,0,0,0
1402.0,190,298.7,2,0,0,309.3,0,0,0
1496.0,0,298.1,1,0,0,307.9,0,0,0
1415.0,28,301.5,0,0,0,310.3,0,0,0
1711.0,170,301.1,0,0,0,311.1,0,0,0
1664.0,142,296.8,1,0,0,307.8,0,0,0
1477.0,72,298.2,0,0,0,308.4,0,0,0
1520.0,147,297.4,1,0,0,309.0,0,0,0
1487.0,30,298.9,1,0,0,308.9,0,0,0
1551.0,147,299.3,0,0,0,309.1,0,0,0
1663.0,67,298.3,0,0,0,308.2,0,0,0
1423.0,199,301.0,1,0,0,311.0,0,0,0
1434.0,129,301.5,0,0,0,311.1,0,0,0
1476.0,199,300.5,1,0,0,311.6,0,0,0
1425.0,174,300.6,0,0,0,310.0,0,0,0
1455.0,56,301.3,1,0,0,310.8,0,0,0
1863.0,110,297.2,1,0,0,308.4,0,0,0
1523.0,55,298.8,0,0,0,308.8,0,0,0
1769.0,38,300.4,0,0,0,310.0,0,0,0
1408.0,106,301.6,0,0,0,311.1,0,0,0
1424.0,32,298.7,1,0,0,309.6,0,0,0
1435.0,224,301.5,0,0,0,310.7,0,0,0
1552.0,190,298.0,1,0,0,308.1,0,0,0
1592.0,79,302.2,1,0,0,311.6,0,0,0
1494.0,118,300.6,0,0,0,310.4,0,0,0
1433.0,139,297.5,1,0,0,309.4,0,0,0
1491.0,112,297.3,0,0,0,308.7,0,0,0
1899.5,123,300.1,0,0,0,311.5,0,0,0
1679.0,222,302.0,2,0,0,310.9,0,0,0
1393.0,35,299.2,0,0,0,308.4,0,0,0
1364.0,213,302.1,1,0,0,310.7,0,0,0
1635.0,4,300.0,1,0,0,309.2,0,0,0
1431.0,21,301.4,0,0,0,310.8,0,0,0
1537.0,52,300.8,0,0,0,310.3,0,0,0
1572.0,142,299.7,2,0,0,309.2,0,0,0
1843.0,116,296.8,1,0,0,307.9,0,0,0
1547.0,186,298.0,2,0,0,307.7,0,0,0
1679.0,64,301.0,0,0,0,310.9,0,0,0
1343.0,119,295.7,0,0,0,306.1,0,0,0
1374.0,222,299.3,1,0,0,310.7,0,0,0
1373.0,179,300.8,0,0,0,309.7,0,0,0
1627.0,99,298.6,0,0,0,309.7,0,0,0
1492.0,149,300.4,0,0,0,311.5,0,0,0
1899.5,12,300.4,0,0,0,310.5,0,0,0
1365.0,70,301.3,0,0,0,310.5,0,0,0
1694.0,94,300.0,0,0,0,309.6,0,0,0
1899.5,169,301.4,0,0,0,310.3,0,0,0
1469.0,86,302.4,0,0,0,310.9,0,0,0
1584.0,141,297.3,1,0,0,308.6,0,0,0
1424.0,151,304.2,1,0,0,313.6,0,0,0
1719.0,58,298.9,0,0,0,310.0,0,0,0
1620.0,28,297.4,0,0,0,309.2,0,0,0
1454.0,0,302.1,0,0,0,311.2,0,0,0
1486.0,6,301.9,0,0,0,310.9,0,0,0
1550.0,125,297.2,0,0,0,308.5,0,0,0
1339.0,68,298.0,1,0,0,308.9,0,0,0
1899.5,19,300.2,0,0,0,311.6,0,0,0
1546.0,11,296.9,0,0,0,308.0,0,0,0
1404.0,84,303.5,2,0,0,312.8,0,0,0
1494.0,181,297.2,0,0,0,308.5,0,0,0
1899.5,21,302.1,0,0,0,311.5,0,0,0
1378.0,119,300.6,0,0,0,310.8,0,0,0
1398.0,40,302.6,0,0,0,312.4,0,0,0
1697.0,74,298.7,2,0,0,309.7,0,0,0
1451.0,197,296.7,0,0,0,308.0,0,0,0
1370.0,20,300.5,1,0,0,311.9,0,0,0
1560.0,55,301.3,0,0,0,311.1,0,0,0
1567.0,130,300.9,1,0,0,311.0,0,0,0
1395.0,123,303.7,0,0,0,312.7,0,0,0
1495.0,21,301.0,2,0,0,310.9,0,0,0
1899.5,37,303.6,1,0,0,312.7,0,0,0
1540.0,176,297.5,1,0,0,309.1,0,0,0
1569.0,93,297.6,1,0,0,308.4,0,0,0
1899.5,91,302.3,0,0,0,311.7,0,0,0
1713.0,124,298.0,0,0,0,308.5,0,0,0
1477.0,251,302.7,0,0,0,312.4,0,0,0
1559.0,229,297.1,2,0,0,308.0,0,0,0
1649.0,50,300.3,0,0,0,309.2,0,0,0
1448.0,14,300.2,0,0,0,309.7,0,0,0
1356.0,96,298.3,0,0,0,309.4,0,0,0
1597.0,74,301.8,0,0,0,310.7,0,0,0
1516.0,102,299.0,0,0,0,310.2,0,0,0
1510.0,10,302.2,1,0,0,311.3,0,0,0
1330.0,56,299.2,1,0,0,308.4,0,0,0
1500.0,89,300.2,1,0,0,309.5,0,0,0
1683.0,131,301.6,0,0,0,310.7,0,0,0
1419.0,178,299.9,0,0,0,310.4,0,0,0
1469.0,4,298.6,0,0,0,309.0,0,0,0
1899.5,156,300.9,0,0,0,311.0,0,0,0
1400.0,79,301.9,0,0,0,310.8,0,0,0
1448.0,199,298.2,1,0,0,308.3,0,0,0
1367.0,85,298.2,0,0,0,308.9,0,0,0
1587.0,203,298.6,1,0,0,309.1,0,0,0
1480.0,148,300.5,0,0,0,309.9,0,0,0
1850.0,33,300.8,0,0,0,310.2,0,0,0
1558.0,14,298.1,0,0,0,308.6,0,0,0
1446.0,227,297.1,0,0,0,308.1,0,0,0
1475.0,38,302.3,2,0,0,311.8,0,0,0
1611.0,70,301.1,0,0,0,310.6,0,0,0
1578.0,26,300.4,0,0,0,310.5,0,0,0
1710.0,138,297.3,1,0,0,308.5,0,0,0
1520.0,154,302.5,0,0,0,310.5,0,0,0
1601.0,166,302.2,1,0,0,310.7,0,0,0
1636.0,192,297.2,0,0,0,308.6,0,0,0
1636.0,90,297.1,0,0,0,307.8,0,0,0
1552.0,8,296.2,1,0,0,307.2,0,0,0
1318.0,13,300.3,0,0,0,311.4,0,0,0
1400.0,210,299.8,0,0,0,309.2,0,0,0
1420.0,82,298.6,2,0,0,309.5,0,0,0
1899.5,62,301.9,0,0,0,310.8,0,0,0
1565.0,6,302.1,0,0,0,310.8,0,0,0
1899.5,77,302.4,0,0,0,311.1,0,0,0
1419.0,115,298.6,1,0,0,309.8,0,0,0
1285.0,100,296.9,0,0,0,307.8,0,0,0
1664.0,144,298.3,0,0,0,308.5,0,0,0
1337.0,5,296.8,0,0,0,307.9,0,0,0
1692.0,122,302.2,2,0,0,311.2,0,0,0
1404.0,64,298.7,0,0,0,309.9,0,0,0
1511.0,209,298.2,0,0,0,307.6,0,0,0
1580.0,196,300.5,0,0,0,309.7,0,0,0
1404.0,203,302.8,0,0,0,310.6,0,0,0
1609.0,4,302.0,1,0,0,310.8,0,0,0
1457.0,195,299.2,0,0,0,308.5,0,0,0
1742.0,150,299.2,1,0,0,308.5,0,0,0
1469.0,130,302.9,2,0,0,311.0,0,0,0
1448.0,192,297.8,0,0,0,308.5,0,0,0
1335.0,39,297.2,0,0,0,308.6,0,0,0
1536.0,7,297.5,2,0,0,308.6,0,0,0
1607.0,14,303.6,1,0,0,312.5,0,0,0
1698.0,48,296.8,0,0,0,307.9,0,0,0
1709.0,151,301.2,2,0,0,309.8,0,0,0
1365.0,129,300.8,0,0,0,312.4,0,0,0
