,udi,air_temperature_[k],process_temperature_[k],rotational_speed_[rpm],torque_[nm],tool_wear_[min],machine_failure,twf,hdf,pwf,osf,rnf
udi,1.0,0.11742794602012077,0.32442814519255553,-0.006614868271097227,0.0032065864720409163,-0.010702006592224334,-0.02289180554800686,0.00915438096088223,-0.022214737201857973,-0.02355655931943335,-0.0009902589512687,-0.005953736224204144
air_temperature_[k],0.11742794602012077,1.0,0.8761071581166637,0.022670458795535774,-0.013777823050932982,0.013852827663160141,0.08255568978322685,0.009954723891485634,0.1378309392396398,0.003469509144179697,0.001987920908400875,0.017687681906713427
process_temperature_[k],0.32442814519255553,0.8761071581166637,1.0,0.019276713901797683,-0.01406061311689268,0.013487517120005912,0.03594597332975212,0.007315343597062576,0.056932883720026375,-0.003354762749440905,0.004553517341091412,0.022278920038438035
rotational_speed_[rpm],-0.006614868271097227,0.022670458795535774,0.019276713901797683,1.0,-0.8750270862996037,0.00022308484018726584,-0.044187559734375326,0.010389052615371083,-0.12124069274241696,0.12301783801418721,-0.10457471184668732,-0.013087570245775254
torque_[nm],0.0032065864720409163,-0.013777823050932982,-0.01406061311689268,-0.8750270862996037,1.0,-0.003092781440768214,0.1913207750594941,-0.014661627020794097,0.14261018182526625,0.08378107782507345,0.18346479499435533,0.016136499193894142
tool_wear_[min],-0.010702006592224334,0.013852827663160141,0.013487517120005912,0.00022308484018726584,-0.003092781440768214,1.0,0.1054482189195948,0.11579205693772597,-0.0012873458573417023,-0.00933444503668099,0.15589367162712098,0.011325708790174048
machine_failure,-0.02289180554800686,0.08255568978322685,0.03594597332975212,-0.044187559734375326,0.1913207750594941,0.1054482189195948,1.0,0.3629036110061269,0.575800152156236,0.5228122496269632,0.53108345118019,0.004515993098786912
twf,0.00915438096088223,0.009954723891485634,0.007315343597062576,0.010389052615371083,-0.014661627020794097,0.11579205693772597,0.3629036110061269,1.0,-0.007332307685911678,0.008577122607266046,0.03824297564601235,0.03096983575426313
hdf,-0.022214737201857973,0.1378309392396398,0.056932883720026375,-0.12124069274241696,0.14261018182526625,-0.0012873458573417023,0.575800152156236,-0.007332307685911678,1.0,0.01844328371239209,0.04639643969326846,-0.004705983022176327
pwf,-0.02355655931943335,0.003469509144179697,-0.003354762749440905,0.12301783801418721,0.08378107782507345,-0.00933444503668099,0.5228122496269632,0.008577122607266046,0.01844328371239209,1.0,0.11583634508114332,-0.00427291580475778
osf,-0.0009902589512687,0.001987920908400875,0.004553517341091412,-0.10457471184668732,0.18346479499435533,0.15589367162712098,0.53108345118019,0.03824297564601235,0.04639643969326846,0.11583634508114332,1.0,-0.004340515880820102
rnf,-0.005953736224204144,0.017687681906713427,0.022278920038438035,-0.013087570245775254,0.016136499193894142,0.011325708790174048,0.004515993098786912,0.03096983575426313,-0.004705983022176327,-0.00427291580475778,-0.004340515880820102,1.0
