torque,wear_torque_interaction,power,rot_speed,temp_diff,tool_wear,air_temp,type_encoded,process_temp,machine_failure
42.8,0.0,6951.5905601573495,1551.0,10.5,0,298.1,1,308.6,0
46.3,138.89999999999998,6826.722724152667,1408.0,10.5,3,298.2,0,308.7,0
49.4,247.0,7749.387542560966,1498.0,10.399999999999977,5,298.1,0,308.5,0
39.5,276.5,5927.504658915662,1433.0,10.400000000000034,7,298.2,0,308.6,0
40.0,360.0,5897.816608339238,1408.0,10.5,9,298.2,0,308.7,0
41.9,460.9,6252.554778807085,1425.0,10.5,11,298.1,1,308.6,0
42.4,593.6,6917.703247400628,1558.0,10.5,14,298.1,0,308.6,0
40.2,643.2,6428.264055922363,1527.0,10.5,16,298.1,0,308.6,0
28.6,514.8000000000001,4992.6399890359235,1667.0,10.399999999999977,18,298.3,1,308.7,0
28.0,588.0,5104.878622573175,1741.0,10.5,21,298.5,1,309.0,0
23.9,573.5999999999999,4459.993426595285,1782.0,10.5,24,298.4,2,308.9,0
44.3,1284.6999999999998,6601.4181710127195,1423.0,10.5,29,298.6,2,309.1,0
51.1,1737.4,7165.229332576969,1339.0,10.5,34,298.6,1,309.1,0
30.0,1110.0,5472.6544025534195,1742.0,10.599999999999966,37,298.6,1,309.2,0
19.6,784.0,3890.527398254576,1895.5,10.599999999999966,40,298.6,0,309.2,0
48.4,2032.8,7815.528539894543,1542.0,10.599999999999966,42,298.6,0,309.2,0
46.6,2050.4,6397.602111623326,1311.0,10.599999999999966,44,298.6,1,309.2,0
45.6,2143.2000000000003,6733.061375173645,1410.0,10.5,47,298.7,1,309.2,0
54.5,2725.0,7453.6380101520235,1306.0,10.399999999999977,50,298.8,2,309.2,0
32.5,1787.5,5554.335811546754,1632.0,10.400000000000034,55,298.9,1,309.3,0
42.7,2476.6000000000004,6148.358622463024,1375.0,10.400000000000034,58,298.9,2,309.3,0
44.8,2822.3999999999996,6802.595292573098,1450.0,10.5,63,298.8,0,309.3,0
30.7,1995.5,5082.75133831639,1581.0,10.400000000000034,65,298.9,1,309.3,0
