type,air_temperature_[k],process_temperature_[k],rotational_speed_[rpm],torque_[nm],tool_wear_[min],twf,hdf,pwf,osf,rnf,machine_failure
1,302.0,310.9,1456.0,47.2,54,0,0,0,0,0,0
1,297.0,308.3,1399.0,46.4,132,0,0,0,0,0,0
1,301.0,311.6,1357.0,45.6,137,0,0,0,0,0,0
0,298.9,309.8,1411.0,56.3,84,0,0,0,0,0,0
0,297.1,308.5,1733.0,28.7,50,0,0,0,0,0,0
2,298.3,308.9,1706.0,31.8,8,0,0,0,0,0,0
1,300.7,311.0,1263.0,52.3,104,0,0,0,0,0,0
2,297.6,309.0,1413.0,40.2,51,0,0,0,0,0,0
1,303.9,313.2,1608.0,40.6,79,0,0,0,0,0,0
2,297.3,308.6,1431.0,42.0,109,0,0,0,0,0,0
0,298.9,310.1,1466.0,42.5,187,0,0,0,0,0,0
0,297.9,308.6,1691.0,29.6,116,0,0,0,0,0,0
0,299.2,310.7,1540.0,36.3,175,0,0,0,0,0,0
0,298.4,308.4,1515.0,40.1,179,0,0,0,0,0,0
1,300.4,309.8,1421.0,47.2,0,0,0,0,0,0,0
0,298.7,309.9,1617.0,33.0,203,0,0,0,0,0,0
0,297.7,308.7,1249.0,60.4,143,0,0,0,0,0,0
0,298.9,310.0,1564.0,33.8,183,0,0,0,0,0,0
0,298.1,308.7,1568.0,32.9,10,0,0,0,0,0,0
0,304.1,313.2,1434.0,50.1,43,0,0,0,0,0,0
0,302.5,311.1,1571.0,34.2,201,0,0,0,0,0,0
2,299.2,308.8,1899.5,21.3,104,0,0,0,0,0,0
0,299.6,310.2,1468.0,48.0,9,0,0,0,0,0,0
2,301.0,312.2,1489.0,40.3,117,0,0,0,0,0,0
0,299.1,310.5,1389.0,61.4,64,0,0,0,0,0,0
0,302.4,310.2,1351.0,45.1,168,0,0,0,0,0,1
0,299.1,310.5,1532.0,36.6,62,0,0,0,0,0,0
0,300.6,309.6,1726.0,30.0,147,0,0,0,0,0,0
0,301.7,311.2,1589.0,37.9,75,0,0,0,0,0,0
0,296.8,307.5,1347.0,54.8,43,0,0,0,0,0,0
0,300.7,311.8,1486.0,47.3,19,0,0,0,0,0,0
0,299.6,311.0,1430.0,38.3,124,0,0,0,0,0,0
0,297.1,308.3,1403.0,54.1,179,0,0,0,0,0,0
0,300.7,310.6,1520.0,45.9,146,0,0,0,0,0,0
1,298.9,308.2,1372.0,63.6,30,0,0,0,0,0,1
0,298.7,309.8,1354.0,53.3,212,0,0,0,0,0,1
0,299.7,309.1,1347.0,55.3,139,0,0,0,0,0,0
0,300.7,309.5,1508.0,39.9,59,0,0,0,0,0,0
1,303.0,312.8,1648.0,32.1,104,0,0,0,0,0,0
1,300.4,311.7,1832.0,24.2,179,0,0,0,0,0,0
